English|Sanskrit
Hey, Chamataka, look at that animal run!|भोः चमटकः पश्य कथं सः जन्तुः धावति!
We should make friends with him. Anyone who can run so fast will be useful to us.|तेन सह मित्रता कर्तव्या। कोऽपि ईयत् शीघ्रम् धावति चेत् तेन आवयोः प्रयोजनम् भविष्यति।
Hey, friend, come here. Who are you, and what is your name?|भोः मित्र, इह आगच्छ। त्वं कः? नाम किम्?
I'm a cheetah, the fastest animal in the world. My name's chirta.|अहं चित्रकः विश्वस्य शीघ्रतमः जन्तुः। नाम चिरुतः।
Hear that doob doob? He could catch rabbits and even deer for us.|श्रुतं वा व्रुडव्रुड? तेन अस्मत्कृते शशान् अपिच मृगान् गृहीतुं शक्यते।
Deer, did you say?|मृगान् इति अवदः किम्?
Yes, there are a lot of animals in this forest. But they are too fast for us. You could catch them easily enough.|आम्! अस्मिन् वने जन्तवः बहवः एव। किन्तु ते अस्मत्तः वेगेन धावन्ति। त्वं तु तान् सरलतया गृहीतुं समर्थः।
So that is their game. But I will fix them.|इयं वा तेषां नूतन-खेला! किन्तु अहं पाठयामि।
See that crow? He is a friend of the animals and our greatest enemy. he has foiled all our plans. He could foil this one too.|सः काकः दृश्यते वा? सः जन्तूनां मित्र अस्माकं परम-शत्रुः। सः अस्माकं पूर्व-योजनाः भग्नवान्। इमां योजनाम् अपि भङ्क्तुं शक्यते तेन।
Leave him to me.|अहं तम् अपसारयामि।
Well, off you go then.|अस्तु! विजयी भव!
Hmm. There is that pit dug by hunters. They have covered it up. I wonder.|अहो! आखेटकैः निर्मितं खातम्। आच्छादितमपि। प्रयोजकं वा?
I will land on the pit.|खातस्योपरि अवतरामि।
There he is. He looks like a duffer. I will creep up and close and then.|अत्र सः। मूर्खः इव दृश्यते। सृप्त्वा सामीपे गमिष्यामि।
CHARGE|आक्रमणम्
Got you!|गृहीतः!
Not so fast, my friend.|नैव भोः!
Help! I am falling.|त्राहि माम्! पताम्यहम्!
Your friends tricked you. You are trapped. Soon the hunters will come.|तव मित्रैः त्वं वञ्चितः। जाले पतितः त्वम्। अचिरात् आखेटकाः आगमिष्यन्ति।
Please get me out. I do not want to end up in a zoo. I beg you. I won't hunt any of your friends. I give you my word.|माम् इतः निष्कासय। मृगशालां न गन्तुम् इच्छामि। प्रार्थयामि एव। तव मित्राणाम् आखेटनं न करिष्यामि। प्रतिज्ञां करोमि।
Er..brother elephant..Could you put that log in the pit?|भोः गज- भ्रातः! खाते काष्ठखण्डं स्थापय।
There. That is done it.|अस्तु! स्थापितम् एव।
I say. Thanks a lot.|बहु धन्यवादः भोः!
Now remember your promise.|अधुना प्रतिज्ञा पालनीया त्वया।
Yes, of course. But first there is something I have to do.|आम्! अवश्यमेव! किन्तु तत्पूर्वं किञ्चित् करणीयं मया।
Well, chirta must have finished Kalia off by now. Let us go and see.|अस्तु! इदानीं पर्यन्तं तु अवश्यमेव कालियः चिरुतेन हतः स्यात्। आगच्छ पश्याव।
Take that! You tricked me.|स्वीकुरु तव वञ्चनायाः प्रतिफलम्।
Cardboard|स्थूलकागदम्
Green velvet paper|हरित-मृदुक-कागदम्
Yellow chart paper|पीत-स्फोरकपत्रम्
Brown paper|पिङ्गल-कागदम्
Old calendar|पुरातन-दिनदर्शिका
Empty cigarette pack|रिक्त-धूमवर्ति-पेटिका
Green silk cord|हरित-कौशेय-तन्तुः
photo corners|भावचित्र-धारक-कोणाः
glue|स्याण-द्रव्यम्
Cut out tuffy's body and head out of cardboard as shown. Cover the head and body with green velvet paper using adhesive.|यथा दर्शितं टफेः शरीरस्य शिरसः च आकार-कर्तनं स्थूलकागदात् कर्तव्यम्। स्याण-द्रव्यम् उपयुज्य शिरसः शरीरस्य आछादनं हरित-मृदुक-कागदेन कर्तव्यम्।
Cut out four feet and tail out of the cardboard as shown. Cover with green velvet paper. Stick head, body, feet and tail together to form tuffy.|यथा दर्शितं चतुष्पादानां पुच्छस्य च आकार-कर्तनं स्थूलकागदात् कर्तव्यम्। हरित-मृदुक-कागदेन आछादनं कर्तव्यम्। शिरः, शरीरं, पादानि पुच्छं च परस्परम् आश्लेषणीयानि।
On yellow chart paper make a timetable as shown. For names of the days, use an old calendar.|यथा दर्शितम् पीत-स्फोरकपत्रे समयसारिण्याः निर्माणं कर्तव्यम्। दिवस-नाम्नां कृते पुरातन-दिनदर्शिका उपयुज्या।
From yellow chart paper, cut out Tuffy's eyes. 12 claws and 8 scales (4 of each type). Decorate Tuffy's face, feet and body as shown.|पीत-स्फोरकपत्रात् टफ़ेः नेत्रयोः, द्वादश-नखानाम्, अष्ट-शकलेषु प्रत्येक-प्रकारस्य चतुर्णाम् च आकाराः कर्तनीयाः। यथा दर्शितम् टफ़ेः मुखं, पादानि शरीरं च अलङ्करणीयानि।
Cut a cigarette packet into 2 halves and cover with green velvet paper. Cut out names of days, months and dates from calendar and stick on chart paper. Pieces of 3" x 15" for day and date and 4" x 15" for months.|
धूमवर्ति-पेटिका भागद्वये कर्तनीया हरित-मृदुक-कागदेन आच्छादनीया। दिवस-मास-दिनाङ्क-नामानि दिनदर्शिकातः कर्तनीयानि तथा च स्फोरकपत्रे आश्लेषणीयानि। दिवसाय 3" x 15" खण्डानि। मासाय 4" x 15" खण्डानि।
Put 4 photo corners on tuffy's body and insert timetable. Stick cigarette pack halves on the sides and arrange days, dates and months in them.|भावचित्र-धारक-कोणाः टफ़ेः शरीरे स्थापनीयाः तथा च समय-सारिणी न्यसनीया। धूमवर्ति-पेटिकायाः अर्धभागौ पक्षयोः आश्लेषनीयौ तथा च दिवसाः, दिनाङ्काः, मासाः च तयोः भागयोः न्यसनीयाः।
Stick silk cord loop behind tuffy's body as shown. Cover the reverse side of tuffy's body with brown paper.|यथा दर्शितम् टफेः शरीरस्य पृष्ठभागे कौशेय-तन्तु-वर्तुलम् आश्लेषनीयम्। टफेः शरीरस्य पृष्ठभागः पिङ्गल-कागदेन आच्छादनीयः।
